timestamp,__name__,instance,job,namespace,phase,timestamp,argo_workflows_total_count,layer,unit,treatment
2026-01-20 09:06:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900015.011,3,workflow,workflows,NoTreatment
2026-01-20 09:07:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900045.011,3,workflow,workflows,Treatment
2026-01-20 09:07:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900075.011,3,workflow,workflows,Treatment
2026-01-20 09:08:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900105.011,3,workflow,workflows,Treatment
2026-01-20 09:08:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900135.011,3,workflow,workflows,Treatment
2026-01-20 09:09:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900165.011,3,workflow,workflows,Treatment
2026-01-20 09:09:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900195.011,3,workflow,workflows,Treatment
2026-01-20 09:10:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900225.011,3,workflow,workflows,Treatment
2026-01-20 09:10:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900255.011,3,workflow,workflows,Treatment
2026-01-20 09:11:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900285.011,3,workflow,workflows,Treatment
2026-01-20 09:11:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Failed,1768900315.011,3,workflow,workflows,Treatment
2026-01-20 09:06:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900015.011,15,workflow,workflows,NoTreatment
2026-01-20 09:07:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900045.011,20,workflow,workflows,Treatment
2026-01-20 09:07:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900075.011,20,workflow,workflows,Treatment
2026-01-20 09:08:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900105.011,20,workflow,workflows,Treatment
2026-01-20 09:08:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900135.011,20,workflow,workflows,Treatment
2026-01-20 09:09:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900165.011,20,workflow,workflows,Treatment
2026-01-20 09:09:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900195.011,20,workflow,workflows,Treatment
2026-01-20 09:10:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900225.011,20,workflow,workflows,Treatment
2026-01-20 09:10:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900255.011,20,workflow,workflows,Treatment
2026-01-20 09:11:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900285.011,20,workflow,workflows,Treatment
2026-01-20 09:11:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Running,1768900315.011,20,workflow,workflows,Treatment
2026-01-20 09:06:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Succeeded,1768900015.011,11,workflow,workflows,NoTreatment
2026-01-20 09:07:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Succeeded,1768900045.011,11,workflow,workflows,Treatment
2026-01-20 09:07:55.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Succeeded,1768900075.011,12,workflow,workflows,Treatment
2026-01-20 09:08:25.010999918+00:00,argo_workflows_total_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,no-reuse-pipeline,Succeeded,1768900105.011,13,workflow,workflows,Treatment
