timestamp,__name__,instance,job,worker_type,timestamp,argo_workflows_workers_busy_raw,layer,unit,treatment
2026-01-20 09:06:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900015.011,0,workflow,workers,NoTreatment
2026-01-20 09:07:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900045.011,0,workflow,workers,Treatment
2026-01-20 09:07:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900075.011,0,workflow,workers,Treatment
2026-01-20 09:08:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900105.011,0,workflow,workers,Treatment
2026-01-20 09:08:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900135.011,0,workflow,workers,Treatment
2026-01-20 09:09:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900165.011,0,workflow,workers,Treatment
2026-01-20 09:09:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900195.011,0,workflow,workers,Treatment
2026-01-20 09:10:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900225.011,0,workflow,workers,Treatment
2026-01-20 09:10:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900255.011,0,workflow,workers,Treatment
2026-01-20 09:11:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900285.011,0,workflow,workers,Treatment
2026-01-20 09:11:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,cron_wf_queue,1768900315.011,0,workflow,workers,Treatment
2026-01-20 09:06:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900015.011,0,workflow,workers,NoTreatment
2026-01-20 09:07:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900045.011,0,workflow,workers,Treatment
2026-01-20 09:07:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900075.011,0,workflow,workers,Treatment
2026-01-20 09:08:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900105.011,0,workflow,workers,Treatment
2026-01-20 09:08:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900135.011,0,workflow,workers,Treatment
2026-01-20 09:09:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900165.011,0,workflow,workers,Treatment
2026-01-20 09:09:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900195.011,0,workflow,workers,Treatment
2026-01-20 09:10:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900225.011,0,workflow,workers,Treatment
2026-01-20 09:10:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900255.011,0,workflow,workers,Treatment
2026-01-20 09:11:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900285.011,0,workflow,workers,Treatment
2026-01-20 09:11:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,pod_cleanup_queue,1768900315.011,0,workflow,workers,Treatment
2026-01-20 09:06:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900015.011,0,workflow,workers,NoTreatment
2026-01-20 09:07:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900045.011,0,workflow,workers,Treatment
2026-01-20 09:07:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900075.011,0,workflow,workers,Treatment
2026-01-20 09:08:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900105.011,0,workflow,workers,Treatment
2026-01-20 09:08:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900135.011,0,workflow,workers,Treatment
2026-01-20 09:09:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900165.011,0,workflow,workers,Treatment
2026-01-20 09:09:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900195.011,0,workflow,workers,Treatment
2026-01-20 09:10:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900225.011,0,workflow,workers,Treatment
2026-01-20 09:10:55.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900255.011,0,workflow,workers,Treatment
2026-01-20 09:11:25.010999918+00:00,argo_workflows_workers_busy_count,workflow-controller-metrics.argo.svc.cluster.local:9090,argo-workflows,workflow_archive_queue,1768900285.011,0,workflow,workers,Treatment
